Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Rajdhani Express,-1972,,Action,,,B.J. Patel,Johnny Bond,Ranjan Kapoor,Jyothi Lakshmi
Rajdrohi,-1993,,Action,,,Saket,Raj Gaurav,Menaj,Ravi Patwardhan
Rajkumar,-1944,,,,,Phani Majumdar,,,
Rajkumar Sooraj,-1973,,Action,,,Azaad Irani,Ratnamala,B.M. Vyas,
Rajkumari,-1938,,,,,Dwarka Khosla,Jeevan,Lalita Pawar,
Rajkumari,-1955,,,,,T.R. Raghunath,Padmini,T.R. Rajakumari,
Rajkumari,-1979,125 min,Fantasy,,,Fazal Khan,Mayuri,Lata Sinha,
Rajkumari,-2003,,Thriller,,,Teerat Singh,Abhay Bhargava,Mamta Chauhan,Aman Sagar
Rajlakshmi,-1987,,"Drama, Romance",,,Praveen Nischol,Farooq Shaikh,Sujata Mehta,Ashwini Bhave
Rajlaxmi,-1945,,Drama,,,Premendra Mitra,Chhabi Biswas,Kanan Devi,Iftekhar
Rajnandini,-2019,,Horror,,,Tanmoy Roy,Sudesh Berry,Debolina Dutta,Biswajit Chakraborty
Rajnarayan Dube: The Legend,,,,,,Megastar Maharishi Aazaad,,,
Rajoo,-1967,,Action,,,Omi Bedi,Helen,Jabeen Jalil,Jeevan
Rajputani,-1946,,,,,Aspi Irani,Paidi Jairaj,Madhubala,Veena
Rajrani Damayanti,-1952,,,,,Raja Nene,Trilok Kapoor,Nirupa Roy,Ram Singh
Rajrani Meera,-1933,,Drama,,,Debaki Bose,Durga Khote,Prithviraj Kapoor,Pahadi Sanyal
Raju Aur Gangaram,-1962,,,,,Ezra Mir,Mridula Rani,Abhimanyu Sharma,
Rajyaveeran,,122 min,Action,,,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,,
Rajyogi Bharthari,-1954,,,,,Sumitra Devi,Bipin Gupta,Jankidas,Trilok Kapoor
Raka,-2021,118 min,Action,,,Dhananjay Mukherjee,Ujjwal Ank,Laltu Bagdi,Palash Chatterjee
Rakhail No 1,-2001,,Thriller,,,Tilak,Rajeev Raj,Sapna Sappu,Yamni
Rakhi Rakhi,-1969,,,,,Mahesh Kaul,Rakesh Behl,Suresh Chatwal,Bhaskar Chowdhury
Raksha Bandhan,-2021,,"Drama, Family",,,Aanand L. Rai,Akshay Kumar,Shuruti Kumari,
Rakto Lekha,-1992,,Action,,,Ram Mukerji,,,
Ram Aur Rahim,-1968,,Drama,,,Shivaji Ganesan,Surya Kumari,Gummadi Lingamurthy,Pasala Suryachandra Rao
Ram Balram Aur Ramkali,-2005,,Action,,,Junior Dharmendra,Ramesh Goyal,Reena Kapoor,Manmauji
Ram Bhakta Vibishan,-1958,,,,,Samar Chatterjee,Prem Adib,Krishna Kumari,Shahu Modak
Ram Bhakti,-1958,,Drama,,,,,,
Ram Darshan,-1950,,,,,Ramesh Gupta,Bharat Bhushan,Dhalia,Sashi Kapoor
Ram Hanuman Yuddha,-1957,,,,,S.N. Tripathi,Prem Adib,Manher Desai,Durga Khote
Ram Janma,-1951,,,,,Nanabhai Bhatt,Trilok Kapoor,Nirupa Roy,Shobhna Samarth
Ram Lakshman,-1957,,,,,Mohan Sinha,Shahu Modak,Lalita Pawar,Sulochana Latkar
Ram Maruti Yuddha,-1923,,,,,Dhundiraj Govind Phalke,Sakharam Jadhav,Bhaurao Datar,
Ram Milai Jodi,-1986,,,,,H.S. Kanwal,Kalpana Iyer,Anil Kochar,Dheeraj Kumar
Ram Navami,-1956,,,,,Raman B. Desai,Prem Adib,Babu Raje,Ratnamala
Ram Rahim,-1930,,,,,K.P. Bhave,Eddie Billimoria,Gohar,Mazhar Khan
Ram Rajya,-1967,144 min,Fantasy,,,Vijay Bhatt,Bina Rai,Kumar Sen,Badri Prasad
Ram Rajya,,,Drama,,,Nitesh Rai,Manoj Bakshi,Sandeep Bhojak,Mushtaq Khan
Ram Rajya Vijay,-1926,,,,,Dhundiraj Govind Phalke,,,
Ram Setu,,,Drama,,,Abhishek Sharma,Akshay Kumar,Jacqueline Fernandez,Nushrat Bharucha
Ram Vivas,-1949,,,,,Ulhas,,,
Ramanujan (The Man who reshaped 20th Century Mathematics),-2018,,Documentary,,,Akashdeep,Akashdeep Pandey,Krishna Kumar Anant,Rphan Jadhav
Ramayan,-1933,,Fantasy,,,Mukhtar Begum,Indubala,Prithviraj Kapoor,Leela
Ramayan,-1934,,Fantasy,,,Prafulla Roy,Sudarshan,,
Ramayan,-1981,,Fantasy,,,Girish Manukant,,,
Ramayan,-1960,,Drama,,,Shivaji Ganesan,Padmini,N.T. Rama Rao,
Ramayani,-1945,,,,,Sarvottam Badami,Kanhaiyalal Chaturvedi,Rose,
Ramba O Ramba,-2003,68 min,Thriller,,,Shakeela,,,
Rambaan,-1948,,,,,Vijay Bhatt,Prem Adib,Raj Adib,Leela Mishra
Rambha Ram Babu,-1990,,Drama,,,Parijatha,Rajendra Prasad,,
Rambha Rani,-1933,,,,,Harshadrai Sakerlal Mehta,Baburao Apte,Bhim,Chandrika
Rambhakta Hunuman,-1969,,"Drama, Fantasy",,,Shantilal Soni,Abhi Bhattacharya,Jaymala Adarsh,Jayshree Gadkar
Rambo,,,"Action, Drama",,,Siddharth Anand,Tiger Shroff,,
Ramdhari B.A,-1941,,Drama,,,Ramprasad,,,
Ramdoot Hanuman,-1968,,History,,,,,,
Ramer Sumati,-1947,144 min,"Drama, Family",,,Kartick Chattopadhyay,Molina Devi,Jahar Ganguli,Prafullabala
Ramgadh Ki Ramkali,-2001,,Action,,,K.I. Sheikh,Durgesh Nandini,Amit Pachori,Shah Gayaz Khan
Ramgarh Ka Daku,-1995,,Action,,,Harinam Singh,Kishore Anand Bhanushali,Birbal,Raza Murad
Ramhari of Champapara,-1986,,Drama,,,Samiran Dutta,,,
Ramman,-1954,,Drama,,,Hiren Bose,Cuckoo,Karan Dewan,Majnu
Rampur Ki Sita,-1988,,Action,,,Anuradha,Madhavi,Pandharibai,Ravi
Ramshastri Ka Nyay,-1956,,,,,Vishram Bedekar,Gajanan Jagirdar,Ram Marathe,Shakuntala
Ramu To Diwana Hai,-1980,,Comedy,,,Kishore Rege,David Abraham,Gulshan Bawra,Chandru
Ramu Ustad,-1971,,Action,,,Mohammed Hussain,Dara Singh,Anita,Jayshree T.
Ramyug,,37 min,"Action, Drama, Fantasy",,,Kunal Kohli,Diganth,Aishwarya Ojha,Akshay Dogra
Rana,,,"Action, Drama, History",,,,,,
Rana the Don,-2000,,Action,,,Bhagyashree,Heera Rajgopal,,
Ranchandi,-1935,,,,,Navinchandra,,,
Rang Mahal,-1948,,"Fantasy, Drama",,,Anand Kumar,Suresh,Shah Nawaz,Anant Marathe
Rang Mahal,-2002,,Drama,,,Jagdeep,Satyendra Kapoor,Shakti Kapoor,Raj Kiran
Rang Raliyan,-1962,,Romance,,,Manher Desai,Meena,Munshi Munakka,Shanta Patel
Rangbhoomi,-1946,,Drama,,,Mohan Dayaram Bhavnani,Gope,Leela Mishra,Jagdish Sethi
Rangbhoomi,-1935,,,,,N.G. Devare,,,
Range Haath,-2001,,Thriller,,,,,,
Rangeela,-1997,,Romance,,,Vishwa Naidu,,,
Rangeela Buddha,-2000,,Comedy,,,,,,
Rangeela No.1,-2003,,Action,,,Hemant Birje,Mohan Joshi,Kiran Kumar,
Rangeela Premi,-2002,,Thriller,,,Selvan,,,
Rangeela Raja,-1960,,Drama,,,Master Bhagwan,Chand Burke,Jayant,Kumkum
Rangeen Duniya,-1975,,Romance,,,S.A. Ashokan,Manjula,M.G. Ramachandran,
Rangeen Jawani,-1990,,Thriller,,,Jayshree,Radha Ravi,Shafi,
Rangeen Kahani,-1947,,,,,Anjum Husaini,S. Ahmed,Khurshid Begum,Bibi
Rangeen Shaam,-2003,61 min,Thriller,,,Bhaboos,Bhaboos,Lekha Pande,
Rang-E-Ishq,-2015,130 min,Romance,,,Srinivaas Anjanappa,Muzahid Khan,Kavya Kiran,Deepak Srivastav
Rangila,-1953,,,,,Master Bhagwan,Master Bhagwan,Leela Gandhi,
Rangila Jawan,-1940,,,,,S.M. Yusuf,Agha,Gangaram,Gangoobai
Rangila Mazdoor,-1938,,,,,S.M. Yusuf,Agha,Bismillah,Violet Cooper
Rangila Nawab,-1935,,,,,Nagendra Majumdar,Azoorie,Master Dinkar,Nurjahan
Rangila Raja,-1936,,,,,Jayant Desai,Kesari,,
Rangila Rajasthan,-1949,,,,,Bharat Bhushan,,,
Rangila Rajput,-1933,,,,,Mohan Dayaram Bhavnani,W.M. Khan,Nissar,
Rangile Dost,-1944,,,,,Aghajani,,,
Rangili,-1952,,Drama,,,Najam Naqvi,Raaj Kumar,Mehmood,Leela Mishra
Rangraas,,,Drama,,,Saazish Sidhu,Rajeev Khandelwal,,
Rani,-1952,,,,,L.V. Prasad,Wahab Kashmiri,Anup Kumar,Raja
Rani,-1943,,,,,P.C. Barua,P.C. Barua,Jamuna,Patience Cooper
Rani Aur Jaani,-1973,,Action,,,K.S.R. Das,Anil Dhawan,Aruna Irani,Jyothi Lakshmi
Rani Chandravati,-1968,,Drama,,,Lalita Pawar,Bipin Gupta,Rajan Kapoor,
Rani Mera Naam,-2000,106 min,Action,,,William Hunt,Willy Raja,Mohan Joshi,Shakti Kapoor
Rani Sahiba,-1940,,,,,Dhirubhai Desai,Chunilal Parekh,Rajkumari,
Ranjish,-1985,,Drama,,,,,,
Ranoo: Bar wali,-2019,,Drama,,,Akshay Paniker,Saheem Khan,Aparna Mishra,
Ranthambhor: The Untold Saga,-2016,59 min,"Documentary, History, War",,,Ajay Jain,Vidhu Rashmi Jain,Pranay Bhardwaj,
Ranthambore,-2014,88 min,"Adventure, Horror, Thriller",,,Paul R. Solomon,Prasenjit Das,Aishmita Meena,Jay Mukunda
Ranuja Na Raja Ramdev,-1974,127 min,Drama,,,Babubhai Patel,Lata Arora,Kishore Bhatt,Shashikant Bhatt
Rape Unreported,,,Thriller,,,Saif Baidya,Fahad Siddique,Tanuja Chatterjee,
Ras Vilas,-1932,,,,,Nagendra Majumdar,Gohar Karnataki,Mohini,
Rasbhari Jawani,-2005,,Thriller,,,Shakeela,,,
Rashida,-1935,,,,,Ezra Mir,,,
Rashk-e-Laila,-1934,153 min,,,,Nanubhai Vakil,Zubeida,Bhai Desa,Master Gulab
Rashmi Rocket,-2021,,Sport,,,Akarsh Khurana,DJ Farman,Mostafiz Mortoza,Priyanshu Painyuli
Rashna:The Ray of Light,,150 min,"Mystery, Thriller",,,Vibha Singh,Shruti Haasan,Nargis Fakhri,Kay Kay Menon
Rashtra Geet,-2001,,Action,,,K.V. Raju,Bhavana,Ilavarasi,Sai Kumar
Rashtraveer Shivaji,-1962,,"Action, Adventure, Drama",,,Sultan,Shyam Kumar,Ratnamala,Anjum
Rasili,-1946,,,,,Kanhaiyalal Chaturvedi,,,
Rasiya,-1954,,Drama,,,,,,
Rasmon Ki Zanjeer,-1999,,Drama,,,Sanjeev Tony,Master Guddu,Dilip Dhawan,Avtar Gill
Raste Aur Manzil,-1968,,Drama,,,Azra,Bharathi,Pratima Devi,Paidi Jairaj
Ratna Dakoo,-1972,,Action,,,Chandramohan,Krishna Ghattamaneni,Jyothi Lakshmi,Jayshree T.
Ratna Manjari,-1955,,,,,G.P. Pawar,Mahipal,Shakila,Rehana
Ratnaghar,-1955,,,,,Yeshwant Pethkar,V. Madan Mohan,Raja Paranjpe,Shakuntala Paranjpye
Ratnavali,-1945,,Drama,,,Surendra Desai,Surendra,Ratnamala,Usha Mantri
Ratri Milan,-1998,,Thriller,,,,,,
Ratsasan Remake,,,"Action, Crime, Thriller",,,,,,
Raudi the Super Hero,-1987,,Action,,,Doraswamy Raju,Amala Akkineni,Nagarjuna Akkineni,Jayasudha
Raunaq,-1993,,,,,Bobby Tappia,Priyanka Upendra,Neeraj Kumar,Subbiraj
Ravan,-1949,,Drama,,,Shanti Kumar,,,
Ravana: Ek Love Katha,,,"Comedy, Romance",,,J. Nutan Punkaj,Rahul Dev,Akanksha Sharda,
Razia,-1988,,Romance,,,Braj Bhushan,Suraj Chaddha,Iftekhar,Anita Kanwar
Razia,-1982,,Romance,,,Chitra,D K Goel,Saleem,Samdhani
Re HaiVaan,-2018,60 min,"Action, Adventure, Horror",,,Prashast Singh,Prashast Singh,,
Real Champions,,,Drama,,,Ashok Baphna,Avani,Ronit,Yatharth
Red Affair,-2017,,Thriller,,,Subroto Paul,Pradeep Rangwani,Arbaaz Khan,Manjari Fadnnis
Red Bluff,-2016,,"Action, Drama",,,Sukhwant Dhadda,Consuelo Vega,Jaime Aymerich,Gary Nohealii
Red Light,-2006,,Drama,,,Suresh Jain,Gulshan,Tanveer,Kanchan
Red Mercury Mission in India,-2021,,"Action, Crime, War",,,Maheshh,Sukesh,Trigger Ravi,Spurthi Rao
Red Punch Knockdown,,,Drama,,,Sanjeev Trigunayat,Sonika Gill,Hemant Birje,Birbal
Red Signal,-1941,,,,,Benjamin,Nurjahan,Urmila,
Red Signal (the Age of youth),,,Comedy,,,Vijay Verma,Meet Arora,Sumit Bharadwaj,Avi Kashyap
Refugee,-1948,,Drama,,,Ajit,Harishchandra,Kesarbai,
Rehana,-1946,,,,,Harbans,Farida,Leela,Manorama
Reincarnation,-2019,,Drama,,,,,,
Rekha,-1943,,,,,Leela Chitnis,,,
Rekha's Mind and Body Temple,-1983,,Drama,,,Rekha,,,
Renuka,-1947,,,,,Ramesh Saigal,Afzal,Chanda,Vijaya Das
Renukadevi Mahatyam,-1960,,"Drama, Musical",,,K.S. Prakash Rao,Kongara Jaggaiah,Varalakshmi G.,Gummadi
Reporter,-1946,,,,,D.S. Potdar,Ali,Benjamin,Bibì
Resham,-1952,,Drama,,,Lekhraj Bhakri,,,
Reshma,-1995,,Drama,,,Surinder Kapoor,Sadashiv Amrapurkar,Gajendra Chauhan,Dinesh Hingoo
Reshmi Sari,-1940,,,,,G.P. Pawar,Vasant,,
Respect Her,-2015,,Crime,,,Rugved Mondkar,,,
Ret Mahal,-1949,,Drama,,,B.N. Chowhan,Altaf,Khurshid Jr.,Sudha Rao
Retirement,-2021,,Drama,,,Pragyesh Singh,,,
Return Of Gadar - Ek Desh Premi,-2002,120 min,Action,,,Kishan Shah,Duplicate Sunny Deol,Ramesh Goyal,Amit Kapoor
Return of Johny,-1972,,Action,,,Chandrakala,Jyothi Lakshmi,Shobha,
Return of Ranveer,-2017,,Action,,,Ashok Jamuar,Rajeev Singh,,
Return of Superman,-1962,,Action,,,Manmohan Sabir,,,
Return of Toofan Mail,-1942,,Action,,,Aspi Irani,Arun,Shamim,Jagdish Sethi
Return Ticket,-2021,,Drama,,,Nisant,Arbaaz Khan,Mugdha Godse,Vikram Gokhale
Revolver Rani,-1971,,Action,,,Vijayalalitha,,,
Rhino,-1987,103 min,"Adventure, Drama",,,Shashank Shanker,Vinod Arora,Nirmal Banerjee,Deepak Chakravarti
Rickshawali,-1990,,,,,Satish Ranadive,Laxmikant Berde,Madhu Kambikar,Alka Kubal
Rickshawali,-2007,,Drama,,,Suresh Jain,Tanveer,Mamata,Shiri Khan
Riding Hero,-1951,,,,,Chandrakant,,,
Riding on a Sunbeam,-2016,108 min,Documentary,,,Brahmanand S. Singh,Mauktik Kulkarni,Samantha Jo Fitzsimons,
Rifle Ganj,-2016,121 min,"Crime, Drama",,,Manoj K. Jha,Madhulagna Das,Puja Gupta,Mohan Joshi
Rifle Girl,-1938,,,,,R.S. Choudhury,,,
Rifle Girl,-1958,,Action,,,B.J. Patel,Rajan Kapoor,Mehroo,Nilofer
Rihaee,-1954,,,,,K. Ramnoth,,,
Rikshawala,-1938,,,,,Ezra Mir,Dixit,,
Rikshawala,-1960,,Drama,,,Shankar Mehta,Anita Guha,Sheila Kashmiri,Kuldip Kaur
Rimjhim,-1949,144 min,,,,Ramesh Gupta,Sushil Sahu,Ramola,
Rimjhim Geeton Ki,-1986,,Documentary,,,Govind Moonis,Mithun Chakraborty,Dharmendra,Madhuri Dixit
Rio to Goa,-2015,,Animation,,,Arvind C. Jadeja,,,
Rishta,-1954,,"Drama, Family",,,Aslam,Suresh,Nigar Sultana,Anwar
Rishta To Ho Aisa,-1992,,,,,Kalpataru,Mahesh Raaj,,
Rishte Ke Deewar,-1992,,Drama,,,Kamini Kaushal,Datta Keshav,,
Rishtey,-2005,,Drama,,,Raj Samra,,,
Rising of Sarpanch,-2014,,Musical,,,Aakash Chaturvedi,Ankul Kumar,Amit Tiwari,
Risknamaa 2,-2021,150 min,Thriller,,,Aarun Nagar,Kirti Gurjar,Prajakta Kiran,Prayas Mann
Riti Rivaj,-2018,,Drama,,,Dinesh Rajpurohit,Heta Shah,,
Ritu Vihaar,-1954,,Drama,,,,,,
Rivers of Life,-1959,,,,,Fali Bilimoria,,,
Riwaaj,-1947,,,,,Ishwarlal,Ishwarlal,Paro Devi,Mubarak
Riyasat,-1955,,,,,Jaswant Jhaveri,Hiralal,Mahipal,Babu Raje
Rizwan,-2019,,Drama,,,Deepti Khurana,,,
Rizwan,-2020,130 min,Drama,,,Haresh Vyas,Jalpa Bhatt,Gaurav Chansoria,Digisha Gajjar
Road No. 303,-1960,,"Action, Crime, Mystery",,,Dharam Kumar,Shubha Khote,Mehmood,K.N. Singh
Road to Sikkim,-1969,,,,,Ravindra Dave,Dhumal,Helen,Jayant
Robinhood Ke Pote,-2016,,Drama,,,Lucky Hansraj,Pradeep Singrole,Rajat Barmecha,Anshuman Jha
Rock the Shaadi,-2014,,"Comedy, Horror",,,Navdeep Singh,Genelia D'Souza,Abhay Deol,Kushal Punjabi
Rocket Girl,-1962,,"Drama, Fantasy, Sci-Fi",,,Nanabhai Bhatt,Master Bhagwan,Sudesh Kumar,Nilofer
Rocket Tarzan,-1963,,"Action, Sci-Fi",,,Shree Bhagwan,Shakeela Bano Bhopali,Dalpat,Ranjan Kapoor
Rocketry: The Nambi Effect,-2021,,"Biography, Drama",,,Madhavan,Madhavan,Bhawsheel Sahni,Arnaud Humbert
Rocky Mera Naam,-1973,,Action,,,Satram Rohera,Sanjeev Kumar,Nivedita,Bela Bose
Rocky the Slave,,,Action,,,James John,Dalip Tahil,Jackie Shroff,Gavin Packard
Roll Sound Camera Action: RSCA,-2015,105 min,Drama,,,Jayesh Sheth,Yash Eshawari,Bobby Kumar,Manish Mehta
Romancebaazi,-2021,,Drama,,,Sunny Solanki,Mukesh Aahuja,Ashish Kadian,Javed Rizvi
Romantic India,-1936,161 min,,,,Mohan Sinha,Nurjahan,Radharani,Snehalata
Romeo Idiot Desi Juliet,-2020,,Comedy,,,Ajay Lohan,Sandeep Bharadwaj,Brijendra Kala,Neelu Kohli
Romeo in Sikkim,-1975,,Romance,,,Harikrishna Kaul,Rajan Haksar,Seema Kapoor,Amina Karim
Romi the Hero,-2019,135 min,Drama,,,Santosh Gupta,Gullu Dada,Mudassir Khan,Shehbaaz Khan
Ronaq,-1944,,,,,Dwarka Khosla,Chandraprabha,Noor Mohammad Charlie,Chandra Mohan
Rooh,-2010,,Horror,,,Sanjay Khandelwal,Kumaar Aadarsh,Sudesh Berry,Sana Govil
ROOH - Ghost Story,,,Horror,,,,,,
Roohani,-2019,,"Comedy, Horror",,,Deepak Saraswat,Sunil Pal,Ehsaan Qureshi,
Room No. 203,-1980,,Mystery,,,Parikshit Sahni,Bindu,Shyamalee,Jagdeep
Room No. 9,-1946,,Drama,,,Vedi,Geeta Nizami,Shyam,K.N. Singh
Room No.17,-1961,,Thriller,,,R.D. Rajput,Chitra,Daljeet,Radhika
Roomal,-1949,,,,,Ramchandra Thakur,Nargis,Rehman,Paidi Jairaj
Roop Basant,-1933,,,,,Anand Prasad Kapoor,Sardar Akhtar,Ashraf Khan,Yakbal
Roop Basant,-1955,,Fantasy,,,A.M. Khan,Chitra,Daljeet,Kamran
Roop Basant,-1949,,Fantasy,,,Amulakh Desai,Amirbai Karnataki,Prakash,Rafiq
Roop Kumari,-1934,,,,,J.J. Madan,Akhtari,Laxmi,Mohan
Roop Kumari,-1956,,Romance,,,Manibhai Vyas,Mahipal,Shakila,Chandrashekhar
Roop Lekha,-1949,,"Comedy, Musical",,,Mohammed Hussain,Master Bhagwan,Sudha,Shyama
Roop Nagar,-1947,,,,,K. Amarnath,Jayant,,
Roop Rekha,-1948,,,,,Samar Ghosh,Veena Kohli,Rehan,Smriti Biswas
Roop Rupaiya,-1968,,,,,P.L. Santoshi,Jagdeep,Jaya Mala,
Roop Sundari,-1964,,,,,Chandrakant,Bela Bose,Laxmi Chhaya,Anita Guha
Rooplekha,-1962,,,,,Mohammed Hussain,Mahipal,Raj Adeeb,Nazir Kashmiri
Roots,-2016,,,,,Shweta Basu Prasad,A.R. Rahman,,
Rose Thorn,-2004,,Thriller,,,Sheetal,Paul Betts,Bob Christo,Steve Edwards
Roshan Ara,-1932,,,,,G.R. Sethi,Ghaznavi,Rafiq Ghaznavi,Haider Shah
Roshni,-1988,,Documentary,,,Bhimsain,,,
Roshni,-2002,,Drama,,,Karan Razdan,Gulshan Grover,Bikram Saluja,Kashmira Shah
Roshni,-2015,,,,,,,,
Roshni aur Andhera,-1974,,Thriller,,,Shivaram,Jayshree T.,,
Rosie: The Saffron Chapter,,,"Horror, Thriller",,,Vishal Mishra,Mallika Sherawat,Vivek Oberoi,Arbaaz Khan
Rosy,-2006,,Thriller,,,Sonali Goswami,Dinesh Hingoo,Mohan Joshi,Abu Khan
Roti,-1950,,Drama,,,Krishan Kumar,,,
Rowdy Lafange,-2017,,Romance,,,Nihal Khan,Chetan Anand,Sandeep Pal,Sofiya
Royal Commander,-1938,,Action,,,Udwadia,Gulab,Nurjahan,Anil Kumar
Royal Mail,-1963,,Action,,,B.J. Patel,Mahesh Kumar,Ambika,Ranjan Kapoor
Royal Utsav,-2009,,Action,,,Ravi Pathak,Charu Arora,Sudesh Berry,Tripta Chopra
RRR,-2021,,"Action, Drama",,,S.S. Rajamouli,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn
Rudali,-2019,,Drama,,,Suman Mukhopadhyay,Usha Ganguli,Kalpana Thakur Jha,Senjuti Mukherjee
Rudra,-1989,,,,,K.S.R. Das,T.N. Balakrishna,Vishnuvardhan,K.S. Ashwath
Rudra Gadh @6km,-2021,120 min,Horror,,,Arjun Rao,Rajesh Bonik,Raaj Seth,Raja Murad
Rukhsana,-1955,145 min,"Action, Adventure, Drama",,,R.C. Talwar,Amar,Kishore Kumar,Meena Kumari
Rukhsar,,,Drama,,,Ashish Nehra,Ronit Agrawal,Mohan Kant,Geeta Saroha
Rukke Padge,-2010,,Comedy,,,Ashoak C. Tyagi,Gaurav Prateek,Rajendra Gupta,Khayali Saharan
Rukmini Swayamvar,-1946,,,,,Baburao Painter,Ratnamala,Chandrakant,Durga Khote
Rupa Rani Ramkali,-2001,130 min,Action,,,K.I. Sheikh,Sadashiv Amrapurkar,Gajendra Chauhan,Mohan Joshi
Rupaiya,-1950,,Drama,,,G.P. Pawar,Manmohan Krishna,Mirajkar,Kumari Naaz
Ruslaan,-2009,,Drama,,,Mohan Sharma,Asrani,Megha Chatterjee,Raymond D'Souza
Rusvai,-1985,,Musical,,,Rajat Rakshit,Sanjeev Kumar,Raj Babbar,Moushumi Chatterjee
Rut Rangeeli Ayee,-1972,,"Action, Crime, Drama",,,M.M. Pushkaran,Bari,Bharat Bhushan,Brahmachari
S P Teja,-1992,,Action,,,Sri Ram Kumar,Sri Ram Kumar,Kushboo,Jaya Prada
S the Film,-2012,,Horror,,,Devang Dholakia,,,
S.O.S Jasoos 007,-1969,,Thriller,,,Dhumal,Dinesh Hingoo,Shyam Irani,Prem Kumar
Saadgi,-2019,75 min,Family,,,Dinesh Chaudhary,Monu Dhankad,Uttar Kumar,
Saagar,-1951,,Romance,,,Paidi Jairaj,Bharat Bhushan,Nargis,K.N. Singh
Saagari,-2005,,Romance,,,,,,
Saahas,-1979,,Thriller,,,,,,
Saahil,-1988,,Drama,,,,,,
Saajan,-1947,,Romance,,,Kishore Sahu,Ashok Kumar,Rehana,Leela Mishra
Saajan Ke Liye,-1995,,Romance,,,,,,
Saajan Mera Chor Hain,-2005,,Drama,,,,,,
Saajna,,,"Musical, Romance",,,Rishikesh Pandey,,,
"Saako-363, Amrita Ki Khejadi",,,"Adventure, Drama, History",,,Kalyan Seervi,Sneha Ullal,Milind Gunaji,Brij Gopal
Saali Poori Gharwali,-2000,,Thriller,,,Dolly Bindra,Jay Devi,Mahesh Kawal,Yogendra Konkar
Saaligirah,-1959,,Romance,,,,,,
Saami Potta Mudhichhu,-1991,124 min,,,,R. Sundarajan,Thalapathi Dinesh,Murali,Disco Shanti
Saat Ladkiyan,-1989,,Drama,,,Kishan Shetty,Sona Mastan Mirza,Rajan Sippy,Tariq
Saat Saheliyan,-2002,,Comedy,,,Narendra Bedi,Divyaa Dwivedi,Pramod Jaiswal,Raaj Malhotra
Saat Samundar Paar,-1965,145 min,"Action, Adventure, Drama",,,Mohammed Hussain,Dara Singh,Ameeta,Shyam Kumar
Saat Samundaron Ki Mallika,-1947,,,,,Dhirubhai Desai,Nayantara,Mumtaz,
Saat Sawal Yane Haatim Tai,-1971,,"Action, Adventure, Drama",,,Babubhai Mistry,Naval Kumar,Heena Kumari,Sujata
Saathi,-1938,,,,,Parshwanath Yeshwant Altekar,Durga Khote,Mubarak,
Saathi,-1946,,,,,M. Sadiq,Mehtab,,
Saathi: The Companion,-2005,,Romance,,,Faaiz Anwar,Rupa Dutta,Divij Kak,Aanchal Anand
Saaya,-1961,,,,,Shriram,Chitra,Helen,Nasir Khan
Saaya Kaali Raat Mein,-2001,,Action,,,Mahmood Khan,Rani Sinha,Rajesh Tiwari,Sainora
Saaz,-1959,,Drama,,,,,,
Saaz Aur Sanam,-1971,,Romance,,,J.B.H. Wadia,Premendra,Rekha,Suresh Chatwal
Sab Ka Ustad,-1965,,Action,,,R. Thakur,Sheikh Mukhtar,Kumkum,Sujit Kumar
Sab Se Badi Adalat,-1987,,Drama,,,Surinder Suri,Vijayendra Ghatge,Simple Kapadia,Bharat Kapoor
Sabaash Naidu,,,"Action, Comedy",,,Kamal Haasan,Shruti Haasan,Kamal Haasan,B.J. Britt
Sabak,-1973,,Drama,,,Jugal Kishore,Poonam Sinha,K.N. Singh,Ramesh Deo
Sabak,-1950,,,,,M. Sadiq,Cuckoo,Karan Dewan,Gajanan Jagirdar
Sabar,-1996,,Drama,,,V Devendra Naidu,Bharat Bhushan,Birbal,Chhaya Mahajan
Sabse Bada Joker,-2000,,Drama,,,Dileep,Manya,Nishanth Sagar,
Sabse Bada Paap,-1984,,Drama,,,,,,
Sabse Bada Rupaiya,-1955,,,,,P.L. Santoshi,Shashikala,Agha,Sunder
Sabz Baag,-1951,,,,,Chand Burke,Suraiya Chowdhary,Kamal Kapoor,Nimmi
Sach Hai,-1939,157 min,,,,R.S. Choudhury,Motilal,Rose,Shakir
Sachcha Pyaar,-1950,,,,,Niranjan,Manorama,,
Sachcha Pyar,-1992,,Romance,,,Poornachandra Rao Atluri,,,
Sachcha Sapna,-1942,,,,,K. Narayan Kale,,,
Sachche Ka Bol Bala,-1958,,"Adventure, Drama",,,Master Bhagwan,Master Bhagwan,Chandrashekhar,Shyam Kumar
Sachche Moti,-1962,,Drama,,,Madhu Apte,Helen,Jeevan,Manmohan Krishna
Sachin: The Ultimate Winner,,,Adventure,,,Dweep Raj Kochhar,Ved Thappar,Dhruv Raj,Shivani Sharma
Sacramento River,-2017,,Thriller,,,Alexandro Garcia,Parminder Kalra,Sukhwant Dhadda,Luis Varela
Sadhana,-1939,,,,,V.C. Desai,M. Thakore,Shobhna Samarth,Bibbo
Sadho,-2019,110 min,Drama,,,Danish Iqbal,,,
